BA,Local date,Time zone,Generation only?,Demand forecast,Demand,Net generation,Total interchange,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: GEO,NG: WAT,NG: PS,NG: SUN,NG: SNB,NG: WND,NG: WNB,NG: BAT,NG: OES,NG: UES,NG: OTH,NG: UNK,AZPS,BANC,BPAT,CEN,CFE,IID,LDWP,NEVP,PACW,SRP,TIDC,WALC,Subregion PGAE,Subregion SDGE,Subregion SCE,Subregion VEA,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
CISO,02Feb2024,Pacific,N,"545,743","566,609","464,732","-100,968",0,"197,323","54,240","1,104",,"52,647",,"84,904",,"79,172",,,,,"-4,657",,"-24,781","-4,205",169,"5,160",,"-7,821","-2,217","-23,015",-686,"-40,075",-642,"-2,855","254,809","51,288","258,546","1,969",,0.89,2.03,0,"79,698","1,017","1,094","81,809","34,850","2,581","114,078","485,909","586,877",0.37,0.43
CISO,03Feb2024,Pacific,N,"508,125","535,627","413,584","-117,398",0,"171,262","54,241","1,103",,"52,055",,"78,814",,"60,352",,,,,"-4,242",,"-25,350","-1,903","-8,030","2,097",,"-8,578","-3,534","-25,878",-755,"-41,585",-620,"-3,262","246,163","46,732","240,910","1,819",,0.89,2.03,0,"69,233","1,014",989,"71,236","35,075","1,098","105,213","432,095","549,493",0.36,0.42
CISO,04Feb2024,Pacific,N,"518,125","536,901","406,803","-123,157",0,"195,424","54,264",747,,"54,461",,"55,497",,"46,205",,,,,202,,"-30,581","1,016","2,683",969,,"-9,158","-5,710","-28,568",-563,"-46,667",-650,"-5,928","244,076","44,951","245,254","2,624",,0.89,2.03,0,"78,997",,844,"80,537","42,625","1,937","121,225","417,913","541,070",0.42,0.49
CISO,05Feb2024,Pacific,N,"568,291","577,724","453,190","-107,261",0,"283,999","54,242",508,,"54,903",,"33,447",,"22,279",,,,,"3,808",,"-26,203","3,298","9,245","1,123",,"-6,912","-2,826","-28,622",-478,"-50,710",-706,"-4,470","246,049","56,959","272,087","2,630",,0.89,2.03,0,"114,480",,667,"115,643","42,270","4,710","153,204","459,887","567,148",0.55,0.60
CISO,06Feb2024,Pacific,N,"571,453","589,122","467,497","-108,592",0,"289,941","54,240","1,086",,"57,150",,"35,931",,"32,588",,,,,"-3,438",,"-24,965",-378,"3,701","3,852",,"-6,638","2,157","-30,577",-133,"-50,429",-575,"-4,607","254,895","56,811","274,960","2,454",,0.89,2.03,0,"117,363","1,000",707,"119,070","41,696","4,454","156,313","476,820","585,412",0.55,0.59
CISO,07Feb2024,Pacific,N,"572,972","606,404","518,536","-92,435",0,"256,756","54,192","1,089",,"51,093",,"78,048",,"80,851",,,,,"-3,491",,"-27,237","5,803","2,988","7,264",,"-7,048","3,385","-31,679",0,"-41,300",-501,"-4,110","278,217","53,957","272,115","2,112",,0.90,2.04,0,"104,411","1,007","1,057","106,475","36,465","5,423","137,517","535,520","627,955",0.44,0.48
CISO,08Feb2024,Pacific,N,"566,711","593,374","485,479","-105,063",0,"224,292","54,207","1,018",,"45,469",,"88,090",,"73,459",,,,,"-1,060",,"-25,148","-2,478","-11,457","5,653",,"-7,354","4,647","-30,683",0,"-34,739",-461,"-3,043","270,518","52,812","267,961","2,081",,0.90,2.03,0,"91,101",937,"1,066","93,104","36,040","3,391","125,752","505,432","610,495",0.41,0.45
CISO,09Feb2024,Pacific,N,"557,729","577,126","505,423","-60,677",0,"254,673","54,243","1,076",,"49,937",,"89,773",,"55,659",,,,,62,,"-23,370","10,293","11,775","3,546",,"-7,061","13,183","-27,945",56,"-38,178",-496,"-2,480","257,260","53,130","264,742","2,001",,0.89,2.03,0,"103,086",991,"1,027","105,104","32,528","8,235","129,397","525,687","586,364",0.44,0.49
CISO,10Feb2024,Pacific,N,"495,633","521,780","477,745","-33,838",0,"244,952","54,276","1,071",,"42,395",,"98,736",,"36,459",,,,,-146,,"-14,534","8,105","16,645","1,995",,"-6,322","18,481","-27,402",118,"-27,449",-622,"-2,853","236,635","44,876","238,891","1,379",,0.89,2.03,0,"98,968",986,964,"100,918","25,517","8,830","117,605","499,192","533,030",0.45,0.49
CISO,11Feb2024,Pacific,N,"475,290","515,717","425,028","-76,612",0,"234,965","54,279","1,044",,"31,599",,"98,439",,"15,757",,,,,"-11,056",,"-19,079",305,"7,168","2,230",,"-7,749","8,452","-31,102",8,"-33,663",-608,"-2,574","237,028","44,063","233,430","1,192",,0.89,2.03,0,"95,217",961,812,"96,990","30,409","4,425","122,975","449,479","526,091",0.48,0.52
CISO,12Feb2024,Pacific,N,"533,640","555,208","460,922","-82,250",0,"240,809","54,256","1,049",,"40,420",,"108,175",,"16,554",,,,,-343,,"-20,288",631,-306,"1,542",,"-7,263","11,603","-31,667",-100,"-33,215",-560,"-2,627","250,106","47,808","256,161","1,134",,0.89,2.03,0,"97,072",966,898,"98,937","31,059","4,692","125,304","477,838","560,088",0.46,0.49
CISO,13Feb2024,Pacific,N,"536,986","554,369","485,314","-59,254",0,"253,911","54,252","1,053",,"46,084",,"101,670",,"28,142",,,,,205,,"-21,898","9,979","18,184","1,154",,"-7,283","11,129","-30,892",76,"-35,773",-586,"-3,344","251,074","47,723","253,921","1,651",,0.89,2.03,0,"102,306",969,938,"104,213","30,600","8,652","126,161","501,436","560,690",0.46,0.50
CISO,14Feb2024,Pacific,N,"547,903","564,445","498,652","-62,659",0,"241,753","54,263",893,,"51,310",,"98,553",,"47,212",,,,,"4,672",,"-25,693","11,092","21,958",839,,"-7,295","8,012","-30,204",217,"-36,947",-401,"-4,237","261,073","48,014","253,374","1,985",,0.89,2.03,0,"97,466",822,"1,038","99,325","33,158","8,660","123,823","515,259","577,918",0.42,0.47
CISO,15Feb2024,Pacific,N,"528,595","556,991","508,844","-47,337",0,"245,627","54,257",951,,"53,814",,"98,228",,"61,966",,,,,"-5,999",,"-25,242","13,929","29,847","2,208",,"-7,604","8,834","-28,959",317,"-35,821",-604,"-4,242","251,135","47,412","256,641","1,808",,0.89,2.05,0,"99,262",884,"1,073","101,220","34,142","11,331","124,030","528,611","575,948",0.42,0.47
CISO,16Feb2024,Pacific,N,"527,037","552,130","491,469","-50,693",0,"258,363","54,244","1,084",,"59,239",,"91,977",,"14,427",,,,,"12,139",,"-22,340","13,487","27,716","2,316",,"-8,449","5,103","-31,038",-10,"-32,638",-422,"-4,418","255,312","45,495","249,494","1,833",,0.89,2.04,0,"104,813","1,003",923,"106,740","32,739","11,007","128,471","502,085","552,778",0.47,0.51
